time,lin_vel,ang_vel,distance,theta
1.660000,0.370260,0.174646,0.003703,0.001746
1.670000,0.437838,0.193241,0.004378,0.001932
1.680000,0.400791,0.211528,0.004008,0.002115
1.690000,0.333953,0.229476,0.003340,0.002295
1.700000,0.949329,0.247057,0.009493,0.002471
1.710000,0.001055,0.264242,0.000011,0.002642
1.720000,0.550821,0.281005,0.005508,0.002810
1.730000,0.446741,0.297319,0.004467,0.002973
1.740000,0.138609,0.313157,0.001386,0.003132
1.750000,0.666489,0.328493,0.006665,0.003285
1.760000,0.497841,0.343305,0.004978,0.003433
1.770000,0.401829,0.357567,0.004018,0.003576
1.780000,0.551174,0.371257,0.005512,0.003713
1.790000,0.837180,0.384353,0.008372,0.003844
1.800000,0.463010,0.396834,0.004630,0.003968
1.810000,0.455205,0.408680,0.004552,0.004087
1.820000,0.310368,0.419873,0.003104,0.004199
1.830000,0.557855,0.430394,0.005579,0.004304
1.840000,0.400983,0.440226,0.004010,0.004402
1.850000,0.184638,0.449354,0.001846,0.004494
1.860000,0.548954,0.457763,0.005490,0.004578
1.870000,0.574744,0.465440,0.005747,0.004654
1.880000,0.896361,0.472372,0.008964,0.004724
1.890000,0.384689,0.478549,0.003847,0.004785
1.900000,0.546508,0.483960,0.005465,0.004840
1.910000,0.212448,0.488597,0.002124,0.004886
1.920000,0.447188,0.492452,0.004472,0.004925
1.930000,0.248685,0.495519,0.002487,0.004955
1.940000,0.678694,0.497793,0.006787,0.004978
1.950000,0.599611,0.499272,0.005996,0.004993
1.960000,0.349053,0.499951,0.003491,0.005000
1.970000,0.662784,0.499831,0.006628,0.004998
1.980000,0.651278,0.498911,0.006513,0.004989
1.990000,0.663333,0.497193,0.006633,0.004972
2.000000,0.476147,0.494679,0.004761,0.004947
2.010000,0.509346,0.491374,0.005093,0.004914
2.020000,0.629635,0.487283,0.006296,0.004873
2.030000,0.263589,0.482413,0.002636,0.004824
2.040000,0.238923,0.476770,0.002389,0.004768
2.050000,0.373991,0.470365,0.003740,0.004704
2.060000,0.437832,0.463208,0.004378,0.004632
2.070000,0.438959,0.455309,0.004390,0.004553
2.080000,0.580783,0.446682,0.005808,0.004467
2.090000,0.529135,0.437341,0.005291,0.004373
2.100000,0.470008,0.427299,0.004700,0.004273
2.110000,0.507531,0.416575,0.005075,0.004166
2.120000,0.479806,0.405183,0.004798,0.004052
2.130000,0.510039,0.393144,0.005100,0.003931
2.140000,0.350956,0.380476,0.003510,0.003805
2.150000,0.506575,0.367199,0.005066,0.003672
2.160000,0.355789,0.353334,0.003558,0.003533
2.170000,0.606758,0.338904,0.006068,0.003389
2.180000,0.445857,0.323932,0.004459,0.003239
2.190000,0.337364,0.308442,0.003374,0.003084
2.200000,0.660188,0.292459,0.006602,0.002925
2.210000,0.139522,0.276007,0.001395,0.002760
2.220000,0.659781,0.259114,0.006598,0.002591
2.230000,0.706530,0.241807,0.007065,0.002418
2.240000,0.463578,0.224112,0.004636,0.002241
2.250000,0.614943,0.206059,0.006149,0.002061
2.260000,0.184476,0.187677,0.001845,0.001877
2.270000,0.445385,0.168994,0.004454,0.001690
2.280000,0.164529,0.150041,0.001645,0.001500
2.290000,0.374863,0.130847,0.003749,0.001308
2.300000,0.528885,0.111445,0.005289,0.001114
2.310000,0.201438,0.091864,0.002014,0.000919
2.320000,0.583585,0.072136,0.005836,0.000721
2.330000,0.643668,0.052293,0.006437,0.000523
2.340000,0.346556,0.032366,0.003466,0.000324
2.350000,0.053141,0.012388,0.000531,0.000124
2.360000,0.291821,-0.007611,0.002918,-0.000076
2.370000,0.609475,-0.027597,0.006095,-0.000276
2.380000,0.173139,-0.047539,0.001731,-0.000475
2.390000,0.727186,-0.067405,0.007272,-0.000674
2.400000,0.753520,-0.087163,0.007535,-0.000872
2.410000,0.507324,-0.106782,0.005073,-0.001068
2.420000,0.724320,-0.126230,0.007243,-0.001262
2.430000,0.209621,-0.145476,0.002096,-0.001455
2.440000,0.196281,-0.164489,0.001963,-0.001645
2.450000,0.520977,-0.183240,0.005210,-0.001832
2.460000,0.551881,-0.201697,0.005519,-0.002017
2.470000,0.396719,-0.219831,0.003967,-0.002198
2.480000,0.356132,-0.237614,0.003561,-0.002376
2.490000,0.218232,-0.255016,0.002182,-0.002550
2.500000,0.464320,-0.272011,0.004643,-0.002720
2.510000,0.187214,-0.288570,0.001872,-0.002886
2.520000,0.516572,-0.304668,0.005166,-0.003047
2.530000,0.415253,-0.320278,0.004153,-0.003203
2.540000,0.586061,-0.335376,0.005861,-0.003354
2.550000,0.098486,-0.349937,0.000985,-0.003499
2.560000,0.585460,-0.363939,0.005855,-0.003639
2.570000,0.482352,-0.377358,0.004824,-0.003774
2.580000,0.618395,-0.390174,0.006184,-0.003902
2.590000,0.538246,-0.402365,0.005382,-0.004024
2.600000,0.559323,-0.413913,0.005593,-0.004139
2.610000,0.756996,-0.424799,0.007570,-0.004248
2.620000,0.358206,-0.435005,0.003582,-0.004350
2.630000,0.445039,-0.444515,0.004450,-0.004445
2.640000,0.739847,-0.453314,0.007398,-0.004533
2.650000,0.710920,-0.461388,0.007109,-0.004614
2.660000,0.390720,-0.468723,0.003907,-0.004687
2.670000,0.281610,-0.475309,0.002816,-0.004753
2.680000,0.424326,-0.481135,0.004243,-0.004811
2.690000,0.402319,-0.486190,0.004023,-0.004862
2.700000,0.423387,-0.490468,0.004234,-0.004905
2.710000,0.513913,-0.493961,0.005139,-0.004940
2.720000,0.475807,-0.496664,0.004758,-0.004967
2.730000,0.515016,-0.498573,0.005150,-0.004986
2.740000,0.475163,-0.499684,0.004752,-0.004997
2.750000,0.651945,-0.499995,0.006519,-0.005000
2.760000,0.571054,-0.499507,0.005711,-0.004995
2.770000,0.731578,-0.498219,0.007316,-0.004982
2.780000,0.251177,-0.496135,0.002512,-0.004961
2.790000,0.514211,-0.493256,0.005142,-0.004933
